,Median0,Median1,Median2,Median3,Median4,Median5,Median6,Median7,Median8,Median9,Median10,Median11,Median12,Median13,Median14,Median15,Median16,Median17,Median18,Median19,Median20,Median21,Median22,Median23,Median24,Median25,Median26,Median27,Median28,Median29,Median30,Median31,Median32,Median33,Median34,Median35,Median36,Median37,Median38,Median39,Median40,Median41,Median42,Median43,Median44,Median45,Median46,Median47,Median48,Median49,Median50,Median51,Median52,Median53,Median54,Median55,Median56,Median57,Median58,Median59,Median60,Median61,Median62,Median63,Median64,Median65,Median66,Median67,Median68,Median69,Median70,Median71,Median72,Median73,Median74,Median75,Median76,Median77,Median78,Median79,Median80,Median81,Median82,Median83,Median84,Median85,Median86,Median87,Median88,Median89,Median90,Median91,Median92,Median93,Median94,Median95,Median96,Median97,Median98,Median99,Class
0,675.61655305326,677.136005833745,677.065108902752,677.291071042419,667.822896502912,672.995578497648,681.244884617627,677.18408536166,660.539604723454,678.099459037185,680.285971611738,677.771400660276,674.535986036062,689.871492795646,662.894919514656,672.496040351689,684.874481521547,676.393043249846,672.413501888514,672.690104693174,671.050976961851,675.805960781872,670.084962621331,681.39040376991,676.518073305488,678.792945109308,675.306073389947,681.187026202679,678.998534567654,665.914034470916,685.486593283713,662.476406432688,689.264968968928,670.122331939638,663.329963572323,680.884113535285,669.64456345886,678.42798307538,675.582443363965,676.117953844368,665.936968289316,678.908545523882,676.939031109214,676.937983371317,671.608955599368,677.737058140338,676.747411489487,682.527897879481,680.072116665542,682.359444908798,662.624486722052,681.378063745797,683.531980030239,667.966087348759,677.034026011825,675.780465826392,666.08190536499,689.218053594232,679.658493027091,685.673556290567,673.997565172613,686.999410390854,694.341957569122,676.817609928548,693.226931616664,679.070013575256,680.370023474097,681.231496855617,682.879472151399,682.339537888765,688.600004650652,676.474999636412,684.597529470921,670.641078613699,683.362479321659,693.735433742404,671.404995955527,649.237539619207,689.890468493104,679.836608469486,690.446584485471,682.386104017496,675.702467560768,680.904602631927,680.9844635427,662.573031149805,669.681583531201,678.257551044226,683.780410327017,689.624575898051,691.508059389889,687.25598976016,687.35342938453,650.508445687592,670.64305767417,667.496584355831,678.917043842375,684.213940985501,679.729506373405,675.303977914155,0
1,670.601963065565,672.155059874058,671.055517159402,671.816407702863,662.9244890064,667.321612127125,676.130526699126,670.814071781933,654.970412142575,672.810012474656,673.656933940947,672.413967549801,669.918023049831,684.494967572391,657.445401884615,666.717533022165,679.597025737166,671.64353094995,666.592968627811,667.430460453033,666.095525957644,670.562963932753,664.848019368947,676.294439472258,670.883455313742,673.981383442879,670.085428282619,676.248921081424,673.388130962849,661.384896375239,679.846503771842,657.384051010013,684.148049913347,665.351515635848,658.883480355144,676.475465297699,664.382125250995,673.892442137003,671.291491016746,672.123045660555,661.100028082728,674.774521030486,672.84400574863,671.99906334281,666.770152747631,672.884052619338,670.819077640772,676.658935844898,674.028531648219,677.346950396895,657.450407743454,676.783500239253,678.751501254737,662.676058709621,671.672401949763,670.989975333214,661.376398056746,684.096943587065,674.634473398328,680.497963912785,669.251894578338,681.980513036251,688.722007907927,672.263908199966,687.87659984082,674.27393514663,674.07707683742,675.591523759067,677.012954838574,677.308067679405,683.200429193676,671.060988679528,678.153475746512,665.078056044877,677.754520438612,687.498017214239,665.797386318445,642.779050394893,683.527439832687,674.463924951851,684.884493239224,677.742995321751,669.892993755639,674.324575811625,674.437498673797,655.960524454713,662.231002934277,671.007903292775,677.723088301718,683.630001731217,684.383092448115,679.882476106286,681.046512909234,644.432962872088,664.690043777227,662.604463286698,673.066475428641,677.574425935745,673.480448313057,668.662134557962,0
2,676.579889841378,676.77057813853,676.199095323682,677.2376364097,667.697982862592,672.278460115194,681.119621731341,676.495605148375,659.724930301309,679.538934491575,679.629039950669,678.395037539303,675.182091072202,691.191526129842,663.16791344434,672.60698415339,684.461090713739,676.759518682957,671.921065077186,672.525959089398,671.354588121176,676.436466164887,669.915461912751,681.216013617814,676.040537655354,678.554992191494,675.66055804491,681.068049743772,679.379561915994,666.012056171894,685.520004481077,662.591541185975,690.103508532047,670.309993438423,663.305050693452,680.786091834307,669.465982355177,679.200049489737,676.811090670526,676.924013532698,665.382947772741,678.962911479175,678.307493217289,677.948002703488,672.172056511045,677.561503835022,675.96510052681,680.773402564228,677.789910696447,681.285513564944,662.182457745075,682.006473653019,683.401594869792,667.448504827917,675.382558256388,675.836927257478,666.002510115504,688.930042088032,678.470940329134,684.903003275394,674.738083034754,687.338062562048,693.458132445812,677.029020152986,692.983041517437,680.154538713396,679.004588164389,680.058961734176,682.211946696043,681.624049320817,688.209547661245,675.844494253397,683.345599099994,671.16052377969,683.157937601209,692.764529958367,670.439447276294,647.972570732236,690.135988406837,679.278047755361,689.951004460454,681.584002450109,675.148097798228,679.536489769816,680.257100611925,660.603982396424,668.601947836578,676.226569339633,681.634061038494,687.609892338514,690.778950229287,684.835948050022,685.665989294648,649.475958198309,669.284025207162,667.840125970542,678.143580444157,683.149439282715,678.41459531337,674.581038765609,0
3,673.275091685355,673.973001539707,673.935050144792,674.389419145882,664.851511828601,670.292414724827,678.312964737415,673.69150929153,657.814089208841,677.132979035378,678.198412060738,676.599447615445,672.808499075472,687.566003762186,660.600955598056,669.379020109773,682.219630107284,674.387556500733,669.315573759377,670.248409733176,670.22000439465,673.520495183766,667.748041450977,679.375021718442,674.1191027686,676.59595515579,672.664027661085,678.932527080178,676.856958307326,665.022525936365,683.484482578933,660.855905152857,687.415478751063,668.630469590426,661.549507640302,679.32705860585,667.122541926801,676.466035656631,672.787427902222,674.431561492384,664.064544253051,676.152994856238,675.658928230405,674.360548146069,669.133383780718,675.168936140835,674.226554110646,679.517048411071,676.475581713021,678.333453834057,659.595476463437,679.175485856831,679.842429235578,665.12543708086,674.151000566781,673.549016937614,664.138002321124,687.395455315709,675.522489473224,682.067009620369,670.669134706259,683.893100358546,690.494431182742,673.812930472195,690.082437358797,676.206895150244,675.477436743677,677.877455018461,679.287477396429,680.198078043759,685.58007478714,672.688358463347,681.106932461262,667.967484332621,679.42647729069,689.868465997279,668.016960844398,645.862543024123,686.997082084417,675.310497172177,686.436425894499,678.463489748538,671.802903525531,675.968476571143,677.090603858233,656.728399917483,664.518098346889,673.080096021295,678.612035699189,684.1846043244,687.518971972168,682.025565765798,682.665035128593,645.742518827319,665.762461721897,663.456507027149,674.325972795486,678.478972986341,674.620503559709,670.45958712697,0
4,672.659953124821,674.475450068712,674.663460813463,674.983952194452,666.525447741151,670.418492518365,679.526943713427,673.903967253864,657.304190099239,676.698517054319,677.614472806454,674.600945785642,672.635505907238,687.823980115354,660.916557535529,670.021981932223,682.581565342844,675.023649819195,669.791945256293,669.83257420361,670.147477649152,673.973932862282,668.202992528677,679.359538480639,674.113514833152,677.805626764894,672.568450681865,679.094577208161,677.298987284303,663.70191052556,682.463520206511,660.866498947144,686.913495883346,668.884487822652,662.162899971008,680.324505083263,667.731510475278,677.901552990079,673.961010761559,674.612005241215,664.539984427393,677.142990753055,676.91714502871,676.030525937676,669.135479256511,675.606075674295,674.572540447116,680.836499668658,677.037984132767,679.810997098684,659.316661767662,679.721473716199,680.684461258352,665.527419187129,674.123060889542,674.209441058338,664.57805223763,688.127940520644,676.481053233147,683.160964399576,672.729103825986,685.535953380168,692.612491548061,675.641000270844,693.149515427649,678.244978189468,678.883399814367,679.405522532761,681.517412886024,680.870492942631,686.654471792281,675.538089126349,681.626028381288,668.963068164885,681.544421240687,691.05951115489,669.742817990482,647.204928100109,687.606050632894,678.644981235266,688.443426042795,680.551980622113,672.699417918921,678.241020068526,679.556047543883,659.832963719964,667.146989144385,674.790469929576,681.073404848576,687.008025124669,688.400468789041,684.625003486872,685.563078150153,648.463028483093,669.056084007025,666.819978505373,678.109470754862,682.508572936058,677.359057590365,673.089525662363,0
5,668.691587634385,669.691478833556,670.745968818665,670.712441205978,662.295031361282,666.075036861002,675.550429150462,670.343055389822,653.271446935833,671.559013426304,672.664027661085,671.077985316515,667.850952595472,684.73897408694,656.294985674322,665.783416479826,677.875126712024,669.881934300065,665.179453790188,665.170955471695,664.948485791683,669.267494231463,664.827995933592,675.479997880757,668.490072712302,671.994988806546,667.511485517025,675.331568345428,672.572408802807,660.084886476398,679.158605635166,656.010583043098,682.60554689914,663.435086607933,657.86752384156,675.476039759815,662.814010865986,673.179980367422,669.919070787728,670.186476781964,659.160548821092,671.75505682826,670.4869447276,669.578555971384,665.172934532166,671.288464218378,668.316497467458,675.23296456784,671.881600283086,674.413400702179,654.862495139241,674.250535666943,675.376388244331,660.907477140427,669.452943839133,668.80346275866,658.886972814798,682.322541251779,672.92305175215,678.339507430792,667.433370836079,680.60599733144,686.917454004288,670.391600579023,686.094048433006,672.347145155072,671.64353094995,673.512928187847,674.998387694359,674.018519930542,680.312979966402,668.240478262305,675.31899549067,661.987927742302,674.325041472912,685.024890117347,663.038576021791,640.618964098394,681.994017213583,671.881134621799,682.646059431136,674.662995152175,667.424872517586,672.346446663141,673.555419780314,653.236522339284,660.39152443409,669.075991027057,674.641923978925,680.77992182225,681.905425153673,677.396892569959,678.461510688067,642.469967715442,662.671169266105,660.751131363213,670.67495547235,674.884067848325,672.138063237071,667.582498863339,0
6,673.009548336268,674.628536216915,673.444126732647,674.558919854462,666.261999867857,670.017441734672,678.516575135291,673.574628308415,656.691496260464,676.105497404933,676.618539728224,675.01503508538,671.795569360256,687.271589413285,659.404438920319,667.828018777072,681.452453136444,672.931433655322,668.133492581546,668.948050588369,669.214059598744,673.09953738004,666.790525428951,678.459997288883,673.313159495592,675.755087286234,671.792076900601,678.59748378396,676.412950269878,663.859536871314,683.92651155591,660.926569253206,687.772524543107,668.601598590612,661.424128338695,680.056982673705,667.506479658186,676.911440677941,673.004426062107,675.465445965529,663.938582874835,676.646595820785,675.281975418329,675.254501402378,669.62547134608,675.160437822342,674.194539897144,679.322518408299,676.616560667753,679.653603583574,659.787910990417,679.876306094229,681.650009937584,665.584462694824,673.782895319164,673.289410769939,663.765938952565,687.485910020769,676.838448271155,682.777026668191,671.788002364337,684.466562233865,692.359055392444,675.187562592328,690.052984282374,677.595497108996,677.537056617439,678.7134334445,680.637080222368,679.643941111863,685.243518091738,673.292437568307,681.465025991201,668.602529913187,680.546392686665,690.442975610495,668.140477500856,645.84007486701,686.193001456559,676.908995956183,687.059597112238,679.71704993397,672.545051202178,676.587107591331,677.831936627626,657.908036373556,665.904022753239,673.934468068183,678.072450682521,686.613959260285,687.056570313871,682.306592352688,682.069570757449,646.8640640378,666.144536808133,664.75453786552,675.213988870382,680.71554414928,676.045543514192,671.5600611642,0
7,669.486471451819,672.085909172893,669.540953822434,672.102440148592,663.503422401845,666.9070571661,675.112591125071,671.440619044006,655.584619380534,673.406408168376,674.66904874891,673.592439852655,669.314991682768,684.992060996592,656.971125863493,666.562584228814,678.928568959236,669.428030960262,665.674102492631,666.087493300438,665.294006466866,669.5770425722,664.251390844584,675.567076541483,669.924425892532,673.094065859914,669.728964567184,676.424009725452,674.234470352531,661.856960505247,681.126955896616,658.445875160396,683.572492562234,666.174455545843,659.168930724263,677.029020152986,664.980500005186,674.942857585847,671.391026116908,672.271940857172,661.036581732333,674.574985168874,673.38696680963,672.006863169372,666.327541694045,673.199421726167,671.498477458954,677.779549732804,675.098970532417,676.496070809662,657.044001854956,677.246367558837,677.520059980452,663.658604025841,670.660985633731,671.122106723487,662.254984490573,685.499981045723,674.060545861721,681.72998726368,671.212561428547,683.544552884996,690.38849323988,673.934468068183,689.822365529835,676.357070915401,676.341936923564,677.057425491512,679.196906276047,678.773387335241,685.088918544352,672.569032758474,680.768978781998,667.330925352871,680.906581692398,690.186978317797,669.157481752336,645.830412395299,686.444574967027,675.719464197755,687.428517267108,679.367571137846,672.711525112391,677.467556670308,677.317962981761,658.268458209932,666.206935420632,673.049478791654,678.878161124885,684.616039507091,687.349471263588,681.65163975209,682.543031871319,646.525528281927,666.178530082107,663.800979964435,675.023533403873,678.86698525399,675.854040309787,671.108486130834,0
8,677.143107168376,678.42286080122,679.086544550955,679.861987009645,670.360401272774,673.833070322871,683.433027006686,678.950920701027,663.255574181676,681.901583448052,682.829995639622,681.280391290784,677.272095344961,693.358015269041,665.94104282558,675.731454975903,687.585445120931,679.724500514567,674.847047775984,676.046591252089,674.03307184577,678.972923196852,672.717462293804,684.757018461823,678.18455863744,681.791454553604,677.841017022729,684.962025843561,681.775505654514,670.208013616502,688.006402924657,665.864441543818,691.953464411199,673.027941957116,665.736966766417,683.802063576877,671.767047606409,681.669916957617,677.716918289661,677.495030686259,667.371437884867,681.449891999364,680.561526678503,678.77396941185,673.614558763802,680.183176882565,679.554650560021,684.018013998866,681.766541674733,683.358521200717,664.071994833648,683.827907778323,685.06586831063,669.367960654199,678.403070196509,677.323550917208,667.384010739625,691.32202770561,680.087483488023,686.106039211154,675.319111905992,687.854480929673,695.524038746953,679.009011946619,694.959075190127,681.312056258321,680.951518006623,682.851416058838,683.882972225547,683.517893776298,689.501641318202,677.652540616691,684.729544445872,671.661458909512,684.013473801315,693.976995535195,672.355410642922,650.387490168214,691.719586029649,681.352335959673,692.771398462355,685.910461470485,676.1479889974,681.160599924624,682.468060404062,662.640435621142,669.679953716695,677.947071380913,682.972487993538,689.891516231,691.793975420296,687.572523020208,687.359017319977,650.885631330311,671.182060614228,669.060507789254,679.987482726574,684.389029629529,680.555938743055,676.14356521517,0
9,672.741909511387,673.599541187286,671.95447627455,673.008966259658,664.263032376766,668.157474137843,677.637523040175,672.055990435183,656.386604532599,673.92410710454,676.390016451478,674.25798624754,670.369016006589,687.454943545163,658.609555102885,668.219989165664,680.236960761249,672.439928166568,667.821033857763,668.098451569676,667.407992295921,671.535497531295,666.3539679721,677.251955494285,673.120957799256,674.837385304272,670.641427859664,677.203992381692,675.649615004659,663.681421428919,682.039535604417,658.550881780684,685.127568431199,665.861531160772,659.010955132544,677.458476275206,666.021485812962,675.502466037869,671.176007017493,672.346912324429,661.652535200119,675.230054184794,673.381495289505,673.355418257415,667.953980155289,674.314564093947,672.143534757197,678.183976560831,675.386399962008,677.44345869869,657.410593703389,677.531468681991,679.462449625135,663.517508655787,671.513611450791,671.432469971478,661.34799271822,684.917089529336,674.301525577903,680.957920849323,670.260633341968,683.301477693021,690.271612256765,673.588947393,689.835520461202,675.007584504783,676.003051921725,677.067087963223,678.832991980016,678.793992847204,684.448983520269,672.023976221681,678.392010740936,665.695522911847,678.812968544662,688.895583152771,666.695064865053,643.258448690176,685.657490976155,674.923416227102,685.331411659718,677.468487992883,670.362962409854,675.838091410697,676.500028930604,656.855991110206,663.624959997833,671.761459670961,676.630414091051,682.915095239878,685.590435750783,681.664445437491,681.172008626163,644.523999653757,664.410064928234,662.543461658061,673.940638080239,678.048469126225,674.346461892128,670.282519422472,0
