,Time
0,26682.219991926104
1,14677.562983706594
2,11913.038993952796
3,11840.691993711516
4,11737.85500577651
5,11882.572987815365
6,14240.071992389858
7,12297.164008487016
8,11949.513020226732
9,11817.093007266521
10,12191.58701132983
11,11955.470981774852
12,11903.471022378653
13,11755.841987906024
14,11894.27898498252
15,11980.260023847222
16,11809.98800555244
17,11729.691992513835
18,11817.969992989674
19,11788.709001848474
20,11987.562000285834
21,11817.498016171157
22,13900.129008106887
23,12787.725019734353
24,12478.644988732412
25,12033.038976369426
26,12101.931992219761
27,11946.80598564446
28,12063.26502142474
29,13715.7250137534
30,12001.950002741069
31,11983.270000200719
32,12273.580010514706
33,12072.782992618158
34,11818.275990663096
35,11822.428001323715
36,13730.623002629727
37,11965.131998294964
38,12138.833990320563
39,12188.769003842026
40,12091.654003597796
41,13243.288994999602
42,12027.618999127299
43,12142.75902020745
44,11887.140019098297
45,11827.067995909601
46,12740.153004415333
47,12369.656004011631
48,12073.75800004229
49,11885.899992194027
50,11959.03800544329
51,12018.06397875771
52,11846.428009448573
53,11718.922993168235
54,11693.591979565099
55,11966.58200933598
56,11948.138999287039
57,12019.96998861432
58,11826.30000403151
59,11649.457010207698
60,12091.668992070481
61,11858.067999128252
62,11724.479001713917
63,12324.479990638793
64,12478.307995479554
65,11918.665986740962
66,12018.910987535492
67,11937.466013478115
68,12100.628984626383
69,11696.460016537458
70,11994.361993856728
71,12129.723007092252
72,11961.134994635358
73,11927.526007639244
74,12003.637006273493
75,11706.335993949324
76,11749.596014851704
77,11627.694009803236
78,11921.597993932664
79,11952.75702048093
80,12193.843984277919
81,13367.453997489065
82,13755.355990724638
83,14650.569995865226
84,11894.408002262935
85,19619.583996245638
86,13269.065995700657
87,12040.094006806612
88,12151.272007031366
89,13026.45998657681
90,11868.180998135358
91,12416.100013069808
92,11893.555987626314
93,12006.011995254084
94,11809.79298078455
95,11730.38300476037
96,11626.212013652548
97,12724.095984594896
98,11955.855006817728
99,11796.751990914345
100,11786.168004618958
101,11785.520007833838
102,11673.550005070865
103,11626.262014033273
104,13408.675993559882
105,12457.351986085996
106,12129.009992349893
107,12032.5320167467
108,12337.405991274863
109,12010.050006210804
110,11949.684005230665
111,11841.603001812473
112,11875.181022332981
113,12029.628996970132
114,12105.16202263534
115,11843.354004668072
116,11759.44900023751
117,11744.872987037525
118,12358.27399068512
119,11970.625986577943
120,11857.517005410045
121,11966.562015004456
122,12130.932009313256
123,12357.466999674216
124,23873.649013694376
125,12884.241994470358
126,11877.897020895034
127,11769.253993406892
128,11971.331987297162
129,11834.383010864258
130,11843.935993965715
131,12251.83199858293
132,12296.100001549348
133,12377.156992442906
134,12195.140006951988
135,12006.920005660504
136,11992.02798306942
137,12012.919003609568
138,12405.39300488308
139,11883.867002325132
140,12006.376986391842
141,12112.260999856517
142,11996.907007414848
143,12181.197991594672
144,12183.715007267892
145,13407.538004685193
146,11921.20902123861
147,12021.701986668631
148,11877.117998665199
149,12010.117003228515
150,11840.618011774495
151,12255.517998710275
152,12159.378995420411
153,12247.531994944438
154,13118.13699430786
155,14947.724994271994
156,14924.177987268195
157,14695.520017994568
158,16658.538981573656
159,17158.049013232812
160,14507.457002764568
161,15414.328023325652
162,15857.357997447252
163,14556.423993781209
164,14431.229006731883
165,14411.383017431945
166,14455.355005338788
167,14171.581016853452
168,15242.371999192983
169,14651.237986981869
170,15081.132994964719
171,15345.445019192994
172,13586.458982899785
173,12422.597006661817
174,12128.260015742853
175,11894.356983248144
176,11903.704988071695
177,12074.528000084683
178,11806.875991169363
179,11792.723002145067
180,12114.204000681639
181,13627.383013954386
182,12582.8750024084
183,12070.88798400946
184,12200.11999248527
185,12566.757999593392
186,12545.428005978465
187,12254.426983417943
188,12077.455990947783
189,12251.516978722066
190,12277.272995561361
191,12220.522010466084
192,12134.504009736702
193,12258.783011930063
194,12010.44098706916
195,12278.16499886103
196,12287.83800615929
197,12161.725026089698
198,12105.792004149407
199,12133.470008848235
200,12823.663011658937
201,12431.315000867471
202,12408.884009346366
203,11958.993010921404
204,12240.32198661007
205,12545.697973109782
206,12388.342001941055
207,12214.745016535744
208,12207.969994051382
209,12009.22898715362
210,15145.760000450537
211,13277.948019094765
212,13616.026000818238
213,19785.42801225558
214,12671.750999288633
215,13605.511019704863
216,12462.943996069953
217,11973.121989285573
218,13996.349007356912
219,12100.58998549357
220,13349.485001526773
221,12146.803986979648
222,12027.787015540525
223,12371.6389934998
224,14813.896006671712
225,15272.476011887193
226,14821.466989815235
227,14642.243011621758
228,14010.05100342445
229,14709.164999658242
230,14187.84199631773
231,11872.492003021762
232,11960.493982769549
233,11756.128980778158
234,12020.687019685283
235,12262.128992006183
236,11844.007996842265
237,11638.280004262924
238,11881.768004968762
239,11731.234000762925
240,23430.131986970082
241,12605.483003426343
242,11824.977991636842
243,11924.485006602481
244,11902.63099852018
245,11810.021998826414
246,11665.834026644006
247,11758.341017412022
248,11668.899009237066
249,12162.01699571684
250,12064.63502603583
251,12149.497983045876
252,11709.369020536542
253,11664.278979878873
254,11712.55501685664
255,11853.539996081963
256,11729.679012205452
257,11723.109986633062
258,11689.978011418134
259,11948.493018280715
260,14169.036003295332
261,12007.510988041759
262,11871.972004882991
263,12090.521020581946
264,12452.169990865514
265,11882.452992722392
266,11793.039011536166
267,11960.203992202878
268,11831.076990347356
269,11955.405003391206
270,12122.027983423322
271,11866.790009662509
272,11725.556018063799
273,11701.304989401251
274,11894.879979081452
275,11773.681006161496
276,15750.596998259425
277,12122.101994464174
278,11860.38600280881
279,12279.10301531665
280,11956.745001953095
281,13022.414990700781
282,12089.002993889153
283,11835.861019790173
284,12133.136013289914
285,11793.218000093475
286,11782.804009271786
287,11773.014004575089
288,11724.171985406429
289,11914.136004634202
290,11824.90197243169
291,12843.820994021371
292,12234.647991135716
293,11734.828993212432
294,11826.853005914018
295,11641.604010947049
296,11807.59898852557
297,11823.872016975656
298,11821.877007605508
299,11748.550983611494
300,11739.451001631096
301,12592.818995472044
302,12337.217020103708
303,12191.722023999318
304,12452.40101707168
305,12592.507991939783
306,12461.373000405729
307,12348.784977803007
308,12265.280005522072
309,12252.4680045899
310,11847.396002849564
311,12259.900016942993
312,11972.625012276694
313,11931.543005630374
314,12001.428985968232
315,12135.98801405169
316,11971.152998739854
317,12701.722997007892
318,12264.907010830939
319,12302.604009164497
320,12414.600001648068
321,12601.98699310422
322,12404.0879891254
323,13279.911014251411
324,12174.825998954475
325,12247.60798504576
326,12492.543988628313
327,11985.746008576825
328,11825.708992546424
329,11747.342010494322
330,12440.4150119517
331,12046.454998198897
332,11947.616992983967
333,11940.739990677685
334,11810.096009867266
335,12306.288001127541
336,11954.207002418116
337,11846.119974507019
338,12111.190997529775
339,12385.04599314183
340,11991.303996182978
341,12147.111003287137
342,14008.377998834476
343,12258.804985322058
344,12522.35600259155
345,12253.409979166463
346,12502.808007411659
347,12478.015996748582
348,11931.390006793663
349,12034.737010253593
350,12106.412992579862
351,12549.81302190572
352,12455.210991902277
353,12274.198001250625
354,11957.396025536582
355,12035.6920233462
356,12368.055991828442
357,11999.448004644364
358,12212.292000185698
359,12074.811005732045
360,12033.995008096099
361,12061.85799674131
362,12602.022005012259
363,23484.903009375557
364,13054.408016614616
365,12808.614003006369
366,12221.051001688465
367,12104.674009606242
368,12031.073012622073
369,11929.586005862802
370,11917.4380088225
371,12133.344018366188
372,11854.95700337924
373,11815.801000921056
374,11795.881000580266
375,11638.090014457703
376,11711.259023286402
377,11770.539014833048
378,11660.527001367882
379,11773.728008847684
380,11793.874989962205
381,11688.84802609682
382,12657.774001127109
383,12122.378015192226
384,11819.406994618475
385,11690.496001392603
386,12124.047003453597
387,11891.436006408185
388,11768.44400470145
389,11871.309980051592
390,11793.608020525426
391,12179.904006188735
392,11950.359999900684
393,11861.222999868914
394,11966.239981120452
395,11643.773003015667
396,11678.948008920997
397,11791.308003012091
398,11969.685001531616
399,11785.554001107812
400,14673.9229967352
401,12164.110987214372
402,11955.493013374507
403,11661.037016892806
404,12179.154000477865
405,13262.230990221724
406,11907.186009921134
407,12079.793988959864
408,11887.637985637411
409,11803.845991380513
410,11797.140003181994
411,11777.161009376869
412,11834.974022349343
413,11824.247980257496
414,11676.102003548294
415,12089.371011825278
416,11826.48100075312
417,11740.086018107831
418,11777.836014516652
419,11739.159002900124
420,11669.92899379693
421,11698.383983457461
422,11772.463010856882
423,11738.215980585665
424,14084.833994274959
425,12057.927990099415
426,11900.534009328112
427,11761.333997128531
428,12300.987000344321
429,12074.864003807306
430,11933.532019611448
431,11766.598996473476
432,11879.454017616808
433,11747.406999347731
434,12337.986991042271
435,11992.62001318857
436,11689.49599377811
437,11743.313021725044
438,11923.466983716935
439,11976.272013271227
440,11754.355015000328
441,12120.117025915533
442,11876.14700756967
443,12139.263009885326
444,11888.994980836287
445,12120.125000365078
446,11957.851005718112
447,11846.043984405696
448,11778.184998547658
449,12069.88500780426
450,11842.32599916868
451,11746.910982765257
452,11752.432998036966
453,11695.424997014925
454,11796.934995800257
455,11896.04599494487
456,11915.02800793387
457,11785.576993133873
458,11691.618012264371
459,11688.861006405205
460,11677.753005642444
461,11770.666984375566
462,11677.057016640902
463,11726.288998033851
464,11679.525981890038
465,12237.201008247212
466,12304.979987675324
467,11848.313006339595
468,11831.27099648118
469,11780.072993133217
470,11764.374008635059
471,11757.008993299678
472,11870.365007780492
473,13068.835978629068
474,11980.488983681425
475,11944.24499408342
476,11819.09500155598
477,12458.298995625228
478,12322.981987381354
479,12294.787011342123
480,11916.241986909881
481,12604.463001480326
482,12184.780003735796
483,12002.04700580798
484,11887.80998927541
485,11770.66401578486
486,12072.629004251212
487,11710.853985277936
488,22578.478994546458
489,14550.749998306856
490,12281.723000342026
491,12346.310017164797
492,11950.730986427516
493,12965.799978701398
494,11913.09600835666
495,11909.48800649494
496,11877.341021317989
497,12172.960996394977
498,12393.581971991807
499,12397.860991768539
500,12458.14998401329
501,12180.449004517868
502,12083.976995199919
503,12297.254987061024
504,12244.6570021566
505,11973.111017141491
506,13852.592004695907
507,12415.611010510474
508,12259.226001333445
509,11991.382983978838
510,12459.37799103558
511,12458.328012144193
512,12165.087013272569
513,12328.552984399721
514,12297.97099949792
515,12371.54399859719
516,12243.025994393975
517,12070.622993633151
518,11857.356003019959
519,11975.973000517115
520,12033.271981636062
521,12115.485995309427
522,11884.293024195358
523,12073.810008587316
524,11961.432988755405
525,14126.29900733009
526,12569.478014484048
527,12411.279982188717
528,12507.41200055927
529,13722.245988901705
530,12851.824023528025
531,12278.845009859651
532,11905.491992365569
533,11803.684988990426
534,13060.505007160828
535,12399.138999171555
536,11890.975991263986
537,12171.457026852295
538,12179.106997791678
539,11784.847010858357
540,12007.754005026072
541,11701.776005793363
542,11769.139004172757
543,11888.893001014367
544,12535.713001852855
545,12009.629019303247
546,12299.325986532494
547,11853.42000098899
548,11752.460995921865
549,11781.912005972117
550,11976.495996350423
551,11855.182005092502
552,11740.109010133892
553,12203.644000692293
554,11890.160996699706
555,12123.86999395676
556,11866.890010423958
557,11726.889002602547
558,11789.49000313878
559,11919.148004380986
560,12007.513985736296
561,11747.504002414644
562,12013.199011562392
563,12127.025984227657
564,13609.452988021076
565,11898.878001375124
566,11742.269998649135
567,11790.747987106442
568,11700.20701829344
569,11715.316999470815
570,11702.026007696986
571,11840.566992759705
572,11908.708023838699
573,11696.32002711296
574,12551.473977509886
575,11783.710011513904
576,12438.98898246698
577,12172.260001534596
578,11686.91401835531
579,11672.39699861966
580,12057.118001393974
581,11837.862024549395
582,11720.155976945534
583,11687.110993079841
584,11840.760009363294
585,11695.916997268796
586,11729.96498644352
587,12385.697977151722
588,13563.774002250284
589,12869.739002780989
590,12039.683002512902
591,11915.28100753203
592,11669.791012536734
593,12266.400008229539
594,11775.042017688975
595,11774.025013437495
596,11680.32397981733
597,11884.528998052701
598,12262.95399828814
599,11950.669024372473
600,11849.175993120298
601,11742.303991923109
602,12213.74500892125
603,11883.787985425442
604,11939.173011342064
605,11745.27799594216
606,11887.353990459815
607,11748.902004910633
608,12083.490000804886
609,11818.766011856496
610,11941.083008423448
611,12228.200008394197
612,22198.673017555848
613,13033.056980930269
614,11933.039990253747
615,11863.784020533785
616,11703.502997988835
617,13256.95400009863
618,15204.297000309452
619,11975.21499125287
620,13821.408007061109
621,19436.721981037408
622,14040.142006706446
623,12436.625023838133
624,12530.69398808293
625,12130.593997426331
626,11880.673002451658
627,12418.630009051412
628,12078.841013135388
629,12315.868982113898
630,11776.440020184964
631,11708.04598950781
632,12134.180986322463
633,11838.456004625186
634,11950.319982133806
635,11890.371009940282
636,11716.13100450486
637,11972.05699281767
638,11809.344025095925
639,11827.495996840298
640,11783.11399416998
641,11726.895987521857
642,11704.703007126227
643,11665.671976516023
644,11995.820997981355
645,11816.24599848874
646,11826.808011392131
647,11678.789014695212
648,11656.457994831726
649,13439.889997243881
650,11934.678972465917
651,11874.986987095326
652,11746.109026717022
653,13468.538993038237
654,12012.616003630683
655,11934.962996747345
656,11967.555998126045
657,11835.001991130412
658,11610.00897991471
659,12786.384002538398
660,11792.455014074221
661,11895.464005647227
662,12003.110983641818
663,11897.254007635638
664,11813.436984084547
665,11748.896009521559
666,11726.783006452024
667,11770.731973228976
668,11603.750986978412
669,12175.354000646621
670,13998.837006511167
671,12030.228012008592
672,11964.867997448891
673,12002.065981505439
674,12659.615982556716
675,11847.991001559421
676,11880.793987074867
677,11764.031019993126
678,11915.506009245291
679,12969.826988410205
680,12440.397025784478
681,12042.360001942143
682,11988.808022579178
683,12073.863006662577
684,12532.088003354147
685,12017.708999337628
686,12112.703989259899
687,12118.561018723994
688,12190.36299153231
689,12268.196005607024
690,12238.422990776598
691,12223.137979162857
692,12294.225016376004
693,12142.343999585137
694,12492.895999457687
695,12293.582985876128
696,11978.773021837696
697,12088.372983271256
698,12124.236003728583
699,12042.006012052298
700,11934.845009818673
701,11878.224991960451
702,11978.637980064377
703,11889.973015058786
704,11891.536007169634
705,12239.855015650392
706,12107.501999707893
707,11914.289003470913
708,12023.40901363641
709,11939.0600011684
710,14607.001008698717
711,14385.849004611373
712,13511.80300116539
713,12543.949007522315
714,13376.243994571269
715,12485.96198274754
716,11995.790991932154
717,13084.27401818335
718,12981.398991541937
719,13192.170998081565
720,13179.48498763144
721,12884.841009508818
722,12183.462007669732
723,12574.730004416779
724,12112.099007936195
725,12020.664988085628
726,12002.87402025424
727,11992.940999334678
728,11888.787994394079
729,11845.895001897588
730,11982.227995758876
731,12231.39400826767
732,13147.369987564161
733,12918.544991407543
734,23186.284000985324
735,13706.498983083293
736,13092.364999465644
737,12541.055999463424
738,11877.318989718333
739,11832.635995233431
740,11741.232010535896
741,12241.50598864071
742,12031.301012029871
743,12011.337996227667
744,11867.299996083602
745,11923.582991585135
746,11879.312980454415
747,11712.026986060664
748,11743.76899143681
749,12188.771012006328
750,14094.807003857568
751,12025.47800494358
752,12730.785994790494
753,12720.594997517765
754,13001.25999841839
755,13161.07201273553
756,12093.402008758858
757,12252.624001121148
758,12200.059980386868
759,13491.43500556238
760,12782.876001438126
761,12624.285998754203
762,14320.766000309959
763,15595.150995068252
764,14390.377007657662
765,13045.995001448318
766,12839.389994041994
767,12430.842994945124
768,12413.966993335634
769,12247.084989212453
770,13936.192000983283
771,12691.487005213276
772,12379.452993627638
773,12793.203990440816
774,12665.996007854119
775,14871.897990815341
776,18593.504006275907
777,13752.084982115775
778,15421.22199316509
779,14929.94200089015
780,13570.702983997762
781,13485.206000041217
782,13132.738997228444
783,15577.190992189571
784,13031.784008489922
785,12590.553989866748
786,12353.964004432783
787,14132.460986729711
788,13061.69800227508
789,12801.119009964168
790,12640.653003472835
791,12461.260019335896
792,12550.243991427124
793,12165.517022367567
794,11890.627996763214
795,12922.118010465056
796,12297.088018385693
797,11890.01600141637
798,11924.653023015708
799,11834.900011308491
800,11887.70099543035
801,11699.736001901329
802,11971.639993134886
803,12029.867008095607
804,11995.854991255328
805,11817.71999108605
806,11795.501981396228
807,11764.76600812748
808,11714.535998180509
809,11831.757001345977
810,11771.794001106173
811,11813.343997346237
812,11854.206008138135
813,12103.118991944939
814,11809.739982709289
815,12015.011976473033
816,11905.13200708665
817,11727.978009730577
818,11635.511997155845
819,11690.453015035018
820,11673.338012769818
821,11741.580994566903
822,12071.328004822135
823,11937.98502208665
824,11978.910013567656
825,12024.561990983784
826,12022.643000818789
827,11860.711994813755
828,13820.892025250942
829,12965.891015483066
830,11993.781983619556
831,11992.583982646465
832,11804.58499584347
833,12882.31200305745
834,11980.559007497504
835,11842.737992992625
836,11893.849994521588
837,12025.9539980907
838,13138.213020283729
839,12715.496006421745
840,12149.165995651856
841,11843.657004646957
842,12080.340005923063
843,11913.264024769887
844,11931.599001400173
845,11963.456985540688
846,61315.19400514662
847,74966.15999843925
848,16587.38701371476
849,17536.469997139648
850,52237.28698911145
851,15542.805980658159
852,13214.130012784153
853,12698.38900770992
854,12314.01099357754
855,14081.201021326706
856,12569.156009703875
857,12170.13000859879
858,11901.855992618948
859,12166.031985543668
860,12394.47999978438
861,11879.526980919763
862,11936.403985600919
863,12037.267006235197
864,11919.929995201528
865,11878.288991283625
866,11822.895001387224
867,12081.466993549839
868,11879.278026754037
869,11779.80299689807
870,11803.50300273858
871,11713.15900865011
872,11787.726980401203
873,11772.554978961125
874,11729.046993423253
875,11725.89699854143
876,11701.519979396835
877,11710.293008945882
878,11924.755992367864
879,13537.174003431574
880,12592.637998750433
881,12011.957995127887
882,12662.120017921552
883,12219.778000144288
884,11975.12200451456
885,11809.461982920766
886,11761.363974073902
887,11696.686007780954
888,11845.644999993965
889,11702.73800380528
890,11708.770005498081
891,11712.434992659837
892,12160.023004980758
893,11857.492005219683
894,11785.29200842604
895,11689.04299265705
896,11755.174986319616
897,14675.743994303048
898,12573.660991620272
899,12025.888980133459
900,11941.883014515042
901,12045.912008034065
902,12321.824993705377
903,11918.616015464067
904,11897.983989911154
905,11829.010007204488
906,11959.25398496911
907,12560.000002849847
908,11976.258014328778
909,11824.002023786306
910,11730.158003047109
911,11739.870999008417
912,12038.334010867402
913,12049.304001266137
914,11962.141987169161
915,11758.730019209906
916,11817.043996416032
917,11915.43901222758
918,11681.98199593462
919,11928.387015359476
920,11754.489009035751
921,11840.313993161544
922,12157.561985077336
923,12216.823000926524
924,11868.76100837253
925,11941.548000322655
926,11815.149977337569
927,12076.07300602831
928,11786.930990638211
929,11835.337994853035
930,11754.860985092819
931,12053.752987412736
932,12087.560986401513
933,11812.36800039187
934,11874.646006617695
935,11884.524021297693
936,11846.434004837647
937,12044.74302357994
938,17953.373986529186
939,16459.575010230765
940,13327.827007742599
941,12490.807013818994
942,12811.12601282075
943,12345.63099569641
944,12229.334010044113
945,12245.541991433129
946,13163.802999770269
947,15060.73900964111
948,14843.754994217306
949,12591.179984156042
950,12001.514987787232
951,11792.283999966457
952,12081.647000741214
953,12303.122988669202
954,11896.690994035453
955,16292.996006086469
956,15494.969004066661
957,12639.085995033383
958,12340.565997874364
959,12693.386001046747
960,12390.798015985638
961,12341.379013378173
962,12788.179999915883
963,24154.86198151484
964,13279.72300350666
965,12037.655978929251
966,11780.925997300074
967,11741.895985323936
968,12111.390999052674
969,12171.776994364336
970,11886.25197391957
971,11903.169011930004
972,11692.556989146397
973,11742.722010239959
974,11955.42499772273
975,12022.640992654487
976,12180.757010355592
977,14296.139997895807
978,12055.514991516247
979,12043.505994370207
980,11980.832990957424
981,12231.761997099966
982,12043.76801615581
983,11864.561995025724
984,11744.791001547128
985,11863.3370148018
986,12083.616020390764
987,11923.724989173934
988,11963.586002821103
989,11817.14201811701
990,11897.842021426186
991,12104.414985515177
992,16400.811000494286
993,15574.842022033408
994,13078.887015581131
995,12747.3890024703
996,14100.483007496223
997,12622.547015780583
998,12165.057996753603
999,12010.730017209426
