,Time
0,16046.959994127974
1,12630.622979486361
2,12228.639010572806
3,11825.647990917787
4,11824.116023490205
5,11868.845002027228
6,13892.540999222547
7,12492.090027080849
8,12346.562987659127
9,11865.915002999827
10,12421.015999279916
11,12253.664986928925
12,11903.035017894581
13,12051.03300162591
14,11835.054989205673
15,11754.843988455832
16,11916.785006178543
17,12175.98799848929
18,12015.574000542983
19,12283.027986995876
20,12038.910004775971
21,11838.161008199677
22,11908.373999176547
23,12254.378001671284
24,11945.647012908012
25,11933.641013456509
26,11767.468007747084
27,11718.03000033833
28,11976.494977716357
29,11690.536019159481
30,11890.755005879328
31,12184.004997834563
32,11970.458988798782
33,12103.832996217534
34,11892.081005498767
35,12135.917000705376
36,11930.075008422136
37,11924.034013645723
38,11771.088000386953
39,11836.683988803998
40,12409.676011884585
41,13725.439988775179
42,12037.384993163869
43,11904.596991371363
44,11765.589995775372
45,11737.410008208826
46,11732.764018233865
47,11852.378986077383
48,11875.670024892315
49,11750.67899748683
50,11747.095006285235
51,11694.790999172255
52,11863.384977914393
53,11826.87800610438
54,11775.29600681737
55,12336.041021626443
56,12098.400009563193
57,11870.257003465667
58,12130.243994761258
59,11998.725996818393
60,12081.340013537556
61,11799.981002695858
62,11770.093988161534
63,11811.8179962039
64,12223.355995956808
65,11770.076001994312
66,11627.93702678755
67,11809.165007434785
68,11819.00899973698
69,11845.108994748443
70,11702.485993737355
71,11702.201998559758
72,11760.99997246638
73,11747.164011467248
74,11943.001998588443
75,11897.0189942047
76,12293.834995944053
77,11827.012000139803
78,11765.78999729827
79,11890.947993379086
80,11699.094000505283
81,12292.013998376206
82,12939.79599722661
83,13612.534996354952
84,11944.479978410527
85,13561.756000854075
86,13292.688003275543
87,19638.0149864126
88,12416.22501402162
89,15763.248986331746
90,12569.359998451546
91,12141.211976995692
92,11781.681008869782
93,11958.115006564185
94,11735.954991308972
95,11904.006008990109
96,11805.690999608487
97,11743.451992515475
98,11883.156024850905
99,11718.577996362
100,12171.087000751868
101,12759.863981045783
102,12122.865009587258
103,12070.646014763042
104,11742.952017812058
105,12131.86900713481
106,12185.122002847493
107,12128.836009651423
108,11895.881005330011
109,11733.018996892497
110,11619.667988270521
111,12263.92900571227
112,11764.72901715897
113,11810.136988060549
114,12112.176977097988
115,12282.998999580741
116,12122.2700108774
117,11800.622974988073
118,11722.533992724493
119,11815.631994977593
120,12322.241003857926
121,11779.991997173056
122,23872.028017649427
123,13194.032973842695
124,13692.108012037352
125,13671.19001224637
126,21397.884003818035
127,13731.73898900859
128,12542.058975668624
129,12944.066984346136
130,11889.35898244381
131,12675.590987782925
132,12981.831008801237
133,11744.562012609094
134,12033.172009978443
135,11964.02800269425
136,11758.827982703224
137,11760.035005863756
138,11749.860015697777
139,11840.822990052402
140,11763.07600690052
141,12025.96101211384
142,11730.130994692445
143,11844.510998344049
144,11847.97499445267
145,11708.067992003635
146,11845.567991258577
147,11594.251001952216
148,11756.848980439827
149,11705.091019393876
150,11812.434007879347
151,11711.548984749243
152,11914.553993847221
153,11945.282982196659
154,11716.870998498052
155,12599.707988556474
156,11878.532997798175
157,12006.247008685023
158,11890.44801867567
159,11811.656993813813
160,11810.029012849554
161,11792.962002800778
