,Time
0,35098.77601754852
1,15093.636000528932
2,13521.403016056865
3,13274.953002110124
4,23672.747978707775
5,12026.398995658383
6,12707.610992947593
7,12623.737013200298
8,12375.283025903627
9,68219.65301060118
10,199462.84499019384
11,14341.961999889463
12,27673.787000821903
13,13965.871999971569
14,14506.28400198184
15,14882.013987516984
16,14905.391988577321
17,14077.586005441844
18,13938.471995061263
19,12774.292001267895
20,12051.627010805532
21,12836.662994232029
22,12990.104994969442
23,12369.27299760282
24,22838.45900092274
25,22794.218006310984
26,12590.355996508151
27,12390.418007271364
28,13244.112022221088
29,11917.881987756118
30,12512.201006757095
31,12513.09597864747
32,11815.85100130178
33,12309.685989748687
34,13371.973007451743
35,18206.92600449547
36,13502.949994290248
37,20185.588975436985
38,23820.116999559104
39,69113.79500525072
40,13355.450006201863
41,12380.561005556956
42,12249.269988387823
43,12013.21100234054
44,11843.55901204981
45,16267.936007352546
46,13833.479984896258
47,13043.10600971803
48,12367.799005005509
49,12481.132987886667
50,15924.737002933398
51,16302.845993777737
52,12358.592008240521
53,13181.637012166902
54,12098.14500180073
55,11742.764007067308
56,12357.116997009143
57,12198.575015645474
58,11749.961005989462
59,12257.975991815329
60,11725.964985089377
61,11994.531989330426
62,11911.787994904444
63,11842.131003504619
64,11704.59800050594
65,11711.105005815625
66,11700.265982653946
67,11749.105004128069
68,11713.084997609258
69,11811.231001047418
70,11911.04800091125
71,11717.49399509281
72,11650.797008769587
73,11833.352997200564
74,11799.670988693833
75,11629.66899573803
76,11656.732996925712
77,11697.14197749272
78,11883.25000111945
79,11710.143997333944
80,11753.706989111379
81,11753.051017876714
82,11666.17899434641
83,11680.264986352995
84,11592.726019443944
85,11709.526996128261
86,12352.056975942105
87,14665.408001746982
88,12126.736022764817
89,12110.507988836616
90,12339.488981524482
91,12212.550005642697
92,11799.03800948523
93,11807.436996605247
94,11903.729988262057
95,12479.587981943041
96,11983.449017861858
97,11922.089994186535
98,12005.611992208287
99,11859.451013151556
100,12205.150997033343
101,11756.241990951821
102,11741.0060192924
103,11757.377011235803
104,11734.058993170038
105,11939.591990085319
106,11736.728018149734
107,11719.417991116643
108,11548.234993824735
109,11652.016022708267
110,11687.157995766029
111,11978.849011939019
112,12046.176008880138
113,11723.703006282449
114,11804.534995462745
115,11676.355003146455
116,11658.169998554513
117,11912.3229815159
118,11609.049019170925
119,11642.974015558138
120,11697.122012265027
121,11758.401000406593
122,11732.479004422203
123,11689.863982610404
124,11835.352022899315
125,22580.068005481735
126,12779.991026036441
127,13102.931989124045
128,12123.024003813043
129,11854.54599908553
130,12088.178016711026
131,11729.856982128695
132,11950.537998927757
133,11902.281024958938
134,11717.356013832614
135,11780.85501305759
136,11709.159007295966
137,11690.240004099905
138,11767.48500438407
139,11657.252005534247
140,11740.881978766993
141,11690.359999192879
142,11768.41399865225
143,13497.640000423416
144,11913.702997844666
145,12152.253999374807
146,11799.074010923505
147,11942.16898875311
148,12116.906000301242
149,11848.661000840366
150,11596.990982070565
151,12059.447006322443
152,11752.997001167387
153,11863.872990943491
154,11966.104997554794
155,12255.249021109194
156,12137.871002778411
157,12338.170025032014
158,11786.103976191953
159,11839.783022878692
160,11768.650001613423
161,13073.537003947422
162,13561.895000748336
163,11993.674008408561
164,11932.69298528321
165,11970.084975473583
166,11695.852997945622
167,11739.959008991718
168,11759.262008126825
169,16106.243012472987
170,12696.713994955644
171,12071.598001057282
172,12001.783004961908
173,12229.25799083896
174,11810.309020802379
175,11764.41099960357
176,11836.805992061272
177,12037.598004098982
178,12291.393999475986
179,12314.758991124108
180,11818.833998404443
181,11821.2100060191
182,12156.139011494815
183,11950.307001825422
184,11818.509025033563
185,12032.840983010828
186,11786.832998041064
187,11847.953021060675
188,11760.499008232728
189,11723.342991899699
190,11718.576977727935
191,11751.279991585761
192,12764.537998009473
193,11855.168006150052
194,11855.500983074307
195,11745.027994038537
196,11840.141989523545
197,11842.73199760355
198,11744.52799023129
199,11796.981008956209
200,11684.872006298974
201,11665.745987556875
202,11869.68499678187
203,11906.429019290954
204,11781.048000557348
205,11672.794003970921
206,11773.331003496423
207,11919.02399295941
208,11671.806976664811
209,11710.119986673817
210,12219.611991895363
211,12080.37298056297
212,11872.405011672527
213,11678.912997012958
214,11929.259984754026
215,11897.449003299698
216,12017.895991448313
217,11802.121996879578
218,12350.543023785576
219,11930.510023375973
220,11896.256997715682
221,11815.41700498201
222,11755.079991417006
223,11759.444983908907
224,11884.203006047755
