,Time
0,37006.58000889234
1,16809.59900841117
2,13015.428005019203
3,12720.334983896464
4,12828.403007006273
5,12471.755995647982
6,12514.282978372648
7,12315.525993471965
8,12064.81599365361
9,12213.321984745562
10,12174.188013887033
11,11931.254004593939
12,14045.206014998257
13,11886.615015100688
14,11998.481990303844
15,11736.410000594333
16,11835.323995910585
17,11852.152005303651
18,12228.132982272655
19,11840.84199485369
20,11959.899013163522
21,12355.518992990255
22,14000.058989040554
23,13057.366973953322
24,12220.25099559687
25,12033.114006044343
26,12072.512996383011
27,12003.623007331043
28,11857.378005515784
29,11907.927982974797
30,11816.924990853295
31,11924.645019462332
32,11676.299996906891
33,11796.343984315172
34,11688.901984598488
35,11847.179004689679
36,11748.074990464374
37,11690.417013596743
38,11745.694006094709
39,11685.57399068959
40,11547.98100469634
41,11660.185002256185
42,11607.453983742744
43,12002.178002148867
44,11628.544016275555
45,11626.13698397763
46,11614.999995799735
47,11645.805992884561
48,11663.57600595802
49,24293.479014886543
50,12275.261018658057
51,11906.238010851666
52,11777.078005252406
53,11765.882023610175
54,11838.492006063461
55,12021.788017591462
56,11701.32402330637
57,11691.63899612613
58,12112.595984945074
59,12347.135983873159
60,11746.856005629525
61,11972.376989433542
62,11886.84900989756
63,12392.585020279512
64,12400.745996274054
65,11807.909002527595
66,12039.052991895005
67,11702.613002853468
68,12359.929998638108
69,11869.56200399436
70,12021.319998893887
71,12241.536023793742
72,11868.153000250459
73,11726.13402013667
74,11866.212997119874
75,12001.564988167956
76,11892.984010046348
77,11772.30299799703
78,11773.894017096609
79,12908.64302427508
80,12892.906001070514
81,11795.780999818817
82,13139.993010554463
83,11885.590996826068
84,21735.593996709213
85,13226.178998593241
86,12749.204004649073
87,12675.079982727766
88,12067.205010680482
89,11912.513989955187
90,11811.985983513296
91,12330.863013630733
92,11904.257989954203
93,11951.049003982916
94,11789.946991484612
95,11795.735015766695
96,11682.06799775362
97,11640.064010862261
98,11656.735994620249
99,12200.860976008698
100,11934.549023862928
101,11725.59498809278
102,12070.09400241077
103,14866.626996081322
104,14679.738000268117
105,12438.38798836805
106,12846.983998315409
107,13100.075972033665
108,12142.418010625988
109,11841.618979815394
110,12172.849994385615
111,12290.695012779906
112,11777.280014939606
113,11735.20999145694
114,11968.3789962437
115,11777.064006309956
116,12311.40797608532
117,11944.939993554726
118,11768.579977797344
119,12006.132979877293
120,11946.513026487082
121,11970.95401585102
122,11907.961015822366
123,11872.909992234781
124,11789.251992013305
125,11820.450017694384
126,11928.899999475107
127,11742.937000235543
128,12233.285000547767
129,12107.79300890863
130,11641.488992609084
131,11758.52000596933
132,11809.571995399892
133,11852.08698734641
134,11976.074980339035
135,11744.165007257834
136,11741.617025109008
137,11718.93801074475
138,11906.996980542317
139,11973.846005275846
140,11796.783015597612
141,11855.588993057609
142,12088.630988728255
143,11871.130001964048
144,11990.834987955168
145,11888.603999977931
146,11752.32999958098
147,11701.834009727463
148,11830.130009911954
149,11502.49398779124
150,12088.415998732671
151,11611.441004788503
152,11765.979026677087
153,12995.060998946428
154,12061.129993526265
