,Time
0,28165.399009594694
1,15215.527004329488
2,14860.626979498193
3,15232.68999881111
4,13611.012022010982
5,12807.421007892117
6,12290.383980143815
7,12196.602998301387
8,11704.02200659737
9,12154.943018686026
10,11869.066016515717
11,12156.354991020635
12,11814.35098988004
13,14272.761007305235
14,12655.995989916846
15,12073.936988599598
16,11989.366001216695
17,11728.071025572717
18,11941.81400933303
19,11654.79002520442
20,11780.578002799302
21,11746.72698834911
22,11658.598989015445
23,11866.03301903233
24,11895.339004695415
25,11703.358992235735
26,11826.64098450914
27,13539.79398845695
28,12118.368991650641
29,11952.758010011166
30,12547.602003905922
31,12662.72398061119
32,12044.227012665942
33,12023.262010188773
34,11837.772006401792
35,11872.60600272566
36,11777.211009757593
37,11666.356993373483
38,11964.923003688455
39,11863.887018989772
40,11798.507010098547
41,11865.376989590004
42,11900.491983396932
43,11789.236014010385
44,11650.86097898893
45,11732.122977264225
46,12214.773014420643
47,11704.242002451792
48,11643.662001006305
49,11686.248006299138
50,11990.480998065323
51,12020.023976219818
52,11674.150009639561
53,12065.75901596807
54,11919.495998881757
55,11832.804011646658
56,11810.785013949499
57,12110.711977584288
58,12088.649003999308
59,12051.713012624532
60,11959.599010879174
61,11923.43098227866
62,12674.516008701175
63,12156.78101289086
64,11829.492985270917
65,11984.478012891486
66,11778.546002460644
67,11842.45600597933
68,11764.7519800812
69,11694.058019202203
70,12000.801012618467
71,12461.178994271904
72,12190.187990199775
73,11762.315989471972
74,11796.799983130768
75,11772.675003157929
76,11894.150986336172
77,11785.550974309444
78,11722.144001396373
79,12132.014002418146
80,13037.022989010438
81,13326.518004760146
82,13107.1149953641
83,13500.083005055785
84,21022.725995862857
85,13985.388010041788
86,12042.58599318564
87,12465.420993976295
88,12432.228977559134
89,12495.150993345305
90,12358.559994027019
91,11866.24902766198
92,11961.987998802215
93,12123.316992074251
94,11867.460998473689
95,13897.213997552171
96,12455.3749919869
97,12111.613003071398
98,11862.901999847963
99,24285.07900913246
100,12469.289009459317
101,11932.775989407673
102,12319.76001872681
103,12463.377992389724
104,11975.538014667109
105,11760.449007852003
106,11734.935018466786
107,11917.044990696013
108,11906.029016245157
109,11641.132005024701
110,12891.73198165372
111,13034.872012212873
112,13476.910011377186
113,13400.230993283913
114,11921.23198416084
115,20671.78097786382
116,12274.009990505874
117,13675.760012120008
118,12654.877005843446
119,12385.459005599841
120,12120.163009967655
121,12157.080986071378
122,12172.221002401784
123,11933.839006815106
124,11713.228013832122
125,13797.041989164427
126,11900.799989234656
127,12229.670013766736
128,12026.313983369619
129,11866.650980664417
130,11691.57400727272
131,11625.842977082357
132,11710.77199978754
133,11603.505990933627
134,12018.181994790211
135,11773.156991694123
136,11816.553014796227
137,11812.441982328892
138,11973.016982665285
139,12189.933011541143
140,11887.506989296526
141,12099.262996343896
142,11801.350978203118
143,11852.259980514646
144,11915.942013729364
145,11710.824008332565
146,11850.251001305878
147,11656.231974484399
148,11689.031991409138
149,12845.882010878995
150,13886.001019272953
151,12546.533980639651
152,11932.336026802659
153,12894.707004306838
154,12324.493989581242
155,11791.714001446962
156,13004.266016650945
157,11857.895995490253
158,11921.55698663555
159,11803.419009083882
160,11755.716986954212
161,11764.158989535645
162,11857.2770152241
163,11630.079010501504
164,12423.989013768733
165,11832.124000648037
166,12327.891978202388
167,12540.76001350768
168,12380.949017824605
169,11869.984999066219
170,12234.800989972427
171,12337.067018961534
172,13246.894988697022
173,12417.748017469421
174,12184.600986074656
175,14144.324988592416
176,12975.664983969182
177,12052.579986630008
178,12033.487000735477
179,12159.217003500089
180,11654.18399614282
181,11979.342001723126
182,11826.12098637037
183,11724.871001206338
184,11669.519997667521
185,11714.51000845991
186,11953.12399067916
187,11955.47598763369
188,11884.36901429668
189,11691.198975313455
190,12127.211986808106
191,12034.500017762184
192,12056.560983182862
193,11768.908996600658
194,11866.646003909409
195,11946.187994908541
196,11705.181997967884
197,11619.911005254835
198,11804.921989096329
199,11924.391001230106
200,12032.49700483866
201,11890.655005117878
202,11952.441011089832
203,11820.42298023589
204,11710.113001754507
205,11923.140991711989
206,13075.603026663885
207,12265.05998056382
208,11879.402998602018
209,11808.044015197083
210,11946.032987907529
211,11827.837995951995
212,11669.276020256802
213,11821.947991847992
214,12287.521996768191
215,11855.340999318287
216,11568.72502178885
217,11734.706000424922
218,11703.5600123927
219,11851.692019263282
220,11785.576003603637
221,11642.86001585424
222,20697.992003988475
223,12816.566013498232
224,12453.978997655213
225,11834.053002530709
226,11648.451996734366
227,11659.96299823746
228,12007.409997750074
229,12007.145996904
230,11616.527976002544
231,11498.382984427735
232,11521.193984663114
233,11830.394010758027
234,11651.603999780491
235,11654.406000161543
236,11822.489002952352
237,11715.18801129423
238,11634.39400261268
239,13004.515989450738
240,12134.168995544314
241,12231.110013090074
242,12535.96501192078
243,11880.161007866263
244,11749.954021070153
245,11684.99598861672
246,11892.726004589349
247,12211.868015583605
248,11889.206012710929
249,12007.056997390464
250,11766.031006118283
251,11656.549002509564
252,11614.891001954675
253,11815.081990789622
254,11669.674015138298
255,12105.450994567946
256,12033.555016387254
257,12118.219980038702
258,13511.458993889391
259,12977.902981219813
260,12925.094983074814
261,12167.954002507031
262,11715.412023477256
263,12110.358977224678
264,11719.422007445246
265,11752.443999284878
266,12159.547011833638
267,11771.34399767965
268,11825.258989119902
269,11843.471002066508
270,12057.758023729548
271,11646.013997960836
272,11542.726977495477
273,11695.657012751326
274,11809.090006863698
275,13978.731993120164
276,11936.258990317583
277,11774.554994190112
278,11778.425017837435
279,12729.772017337382
280,12712.540017673746
281,11969.751998549327
282,11753.244994906709
283,12512.079993030056
284,12274.401989998296
285,11841.549014206976
286,12049.682991346344
287,11845.585016999394
288,12516.681017586961
289,11857.66898561269
290,11604.834988247603
291,12922.431982588023
292,12197.23399844952
293,11937.223986024037
294,11982.865980826318
295,11835.884011816233
296,11800.401989603415
297,11659.412004519254
298,11766.191018978134
299,11950.445972615853
300,11994.875007076189
301,11870.243004523218
302,11916.418996406719
303,12122.322019422427
304,11790.042015491053
305,12314.323976170272
306,12106.050009606406
307,11854.140990180895
308,11793.049983680248
309,11649.16600100696
310,12086.695001926273
311,11763.521993998438
312,11699.410999426618
313,11852.928990265355
314,11811.730975750834
315,11729.973019100726
316,11929.898988455534
317,11985.079006990418
318,11998.85198730044
319,11954.802990658209
320,11709.0999847278
321,11712.309991708025
322,12295.744003495201
323,11836.37700160034
324,11782.68899093382
325,11797.57300997153
326,11595.0420149602
327,11772.864003432915
328,11779.52898433432
329,11706.154997227713
330,12108.618975616992
331,12018.592999083921
332,11864.401021739468
333,12275.824992684647
334,11941.034987103194
335,11857.721983687952
336,11701.156006893143
337,11931.708024349064
338,11845.536006148905
339,12370.876997010782
340,11836.756981210783
341,13820.161984767765
342,12967.219023266807
343,12030.587997287512
344,11785.81899148412
345,11912.94498858042
346,11755.887971958145
347,11844.986001960933
