,Time
0,17673.975991783664
1,12272.818974452093
2,12102.376000257209
3,11879.085999680683
4,11971.362982876599
5,11707.77200604789
6,11912.8710066434
7,11776.453000493348
8,11798.282997915521
9,12337.949010543525
10,11933.65702056326
11,11769.571981858462
12,14125.75799622573
13,12265.828001545742
14,12077.310006134212
15,11920.80500186421
16,12304.455012781546
17,12311.351019889116
18,13050.449022557586
19,12354.923994280398
20,11916.313989786431
21,11718.72002305463
22,11799.10299833864
23,11858.74899965711
24,11818.503000540659
25,12220.17899272032
26,11843.738000607118
27,11692.522995872423
28,11648.962972685695
29,11610.767978709191
30,11722.016002750024
31,11725.183023372665
32,11768.346012104303
33,12076.00298221223
34,12255.929003003985
35,11859.691992867738
36,12137.332989368588
37,12512.636021710932
38,11939.91900072433
39,11769.90699605085
40,11987.69497568719
41,11976.99800832197
42,12079.455016646534
43,11844.82398093678
44,11912.877002032474
45,11612.299014814198
46,11811.340984422714
47,11724.163981853053
48,11685.631005093455
49,11629.798013018444
50,11740.32100243494
51,13599.436992080882
52,12284.50401686132
53,11857.17899352312
54,11798.369989264756
55,12501.472985604778
56,12034.81198172085
57,12058.276013704017
58,11865.834007039666
59,12113.58600994572
60,12783.01898855716
61,12054.037011694163
62,11815.95798698254
63,11907.31700626202
64,12450.439011445269
65,11898.183001903817
66,11914.180999156088
67,11835.90100845322
68,12185.10401668027
69,11764.904018491507
70,12095.865997252986
71,11744.902993086725
72,11581.763013964519
73,11975.589994108304
74,11716.880020685494
75,11725.115007720888
76,11798.067978816107
77,11835.769983008504
78,11616.992997005582
79,11646.914994344115
80,14710.176998050883
81,12841.638992540538
82,14115.838013822213
83,13495.755003532395
84,17599.42198987119
85,23067.43900408037
86,12188.181019155309
87,12881.17200601846
88,12892.981991171837
89,12209.037988213822
90,12804.827012587339
91,13072.693021968007
92,12786.438019247726
93,12311.825004871935
94,12137.315003201365
95,11750.011006370187
96,11819.011007901281
97,12294.364016270265
98,11880.151985678822
99,24601.420998806134
100,11974.296998232603
101,11819.469014881179
102,11858.44000428915
103,12126.84198981151
104,11824.57699906081
105,11752.938007703051
106,11715.643981005996
107,11758.65699769929
108,11793.526005931199
109,13060.986995697021
110,11999.056994682178
111,11966.808000579476
112,11656.856018817052
113,11862.09000297822
114,12172.1200121101
115,11838.855018140748
116,11746.500997105613
117,11773.097008699551
118,12787.296989699826
119,11961.710988543928
120,12219.625990837812
121,11962.221004068851
122,11747.183016268536
123,11761.355999624357
124,11754.25699329935
125,11817.202001111582
126,11738.667992176488
127,13191.296980949119
128,12018.954992527142
129,11703.47398146987
130,11954.965011682361
131,14558.745024260134
132,12203.916994621977
133,11955.33000282012
134,12705.328001175076
135,13248.981995275244
136,11937.450006371364
137,12052.076024701819
138,12050.452991388738
139,11852.419993374497
140,12710.120994597673
141,13012.810988584533
142,12021.798989735544
143,12174.847011920065
144,12223.42497203499
145,11850.379989482462
146,11681.244999635965
147,11794.997000833973
148,12510.339001892135
149,12624.47700719349
150,11835.163022624329
151,11688.914004480466
152,11623.030004557222
153,11893.590999534354
154,12291.908991755918
155,12185.97000115551
156,11854.384007165208
157,11820.29498158954
158,11925.844009965658
159,11693.273991113529
160,11880.644015036523
161,11709.176003932953
162,11982.00197541155
163,11835.990997496992
164,11916.461022337899
165,11799.835978308693
166,12576.501001603901
167,12404.197012074292
168,11871.541006257758
169,11848.200985696167
170,11902.4200248532
171,11744.960997020826
172,12542.10900515318
173,12468.52899203077
174,13132.744992617518
175,12711.817980743945
176,12143.719010055065
177,12996.24500097707
178,12223.452009493485
179,12246.075988514349
180,11955.199996009469
181,12643.476016819477
182,12152.362003689632
183,11966.60299319774
184,11901.07801812701
185,13046.209991443902
186,12070.541008142754
187,11801.41099030152
188,11955.430003581569
189,11790.852004196495
190,11651.672015432268
191,11996.07498710975
192,11657.494003884494
193,11832.299001980573
194,12781.280995113775
195,11922.062985831872
196,12098.348990548402
197,12033.409992000088
198,11738.028028048575
199,11858.323006890714
200,11840.922001283616
201,11777.572013670579
202,11600.686004385352
203,11774.737009545788
204,11849.59802776575
205,11912.362009752542
206,11784.178990637884
207,11691.534018609673
208,11844.642023788765
209,11616.431991569698
210,11956.366011872888
211,11813.299992354587
212,11639.895004918799
213,12173.801980679855
214,14145.587017992511
215,12179.967015981674
216,12246.397993294522
217,11833.366996143013
218,12021.10797748901
219,12278.054986381903
220,11947.050981689245
221,12012.808001600206
222,11820.645013358444
223,24600.736011052504
224,12323.993985773996
225,12030.851998133585
226,12338.322994764894
227,11928.922991501167
228,12051.466008415446
229,11909.349996130913
230,11923.285986995324
231,12228.778999997303
232,12174.322997452691
233,11779.260006733239
234,11715.208005625755
235,11961.391981458291
236,11849.354021251202
237,11843.581014545634
