,Time
0,15455.330023542047
1,14991.920994361863
2,12138.00799450837
3,11915.990995476022
4,12209.706997964531
5,11927.099985769019
6,12000.983988400549
7,11902.699014171958
8,11821.168009191751
9,11701.076000463217
10,11724.527983460575
11,11814.719997346401
12,13712.892978219315
13,12878.890003776178
14,12505.722988862544
15,12083.53298716247
16,12283.516000024974
17,12053.496000589803
18,11959.508992731571
19,11805.058020399883
20,11837.773985462263
21,11668.535007629544
22,11888.409004313871
23,12283.87697483413
24,12119.513005018234
25,11868.030996993184
26,11673.52800257504
27,12286.86299873516
28,11915.86599452421
29,11953.670997172594
30,11628.581996774301
31,11749.673023587093
32,12018.379988148808
33,11837.291007395834
34,11688.072001561522
35,11730.54301762022
36,12019.799993140623
37,12152.153998613358
38,12023.834977298975
39,11700.040980940685
40,11850.813985802233
41,11747.985001420602
42,11704.05000448227
43,11740.083020413294
44,11809.199000708759
45,11908.632994163781
46,11766.360985348001
47,11738.75600215979
48,11768.521013436839
49,12534.980021882802
50,11963.999015279114
51,11729.717021808028
52,11865.782988024876
53,11715.177010046318
54,12069.993012119085
55,11865.993990795687
56,11702.100979164243
57,11863.19999396801
58,11852.925003040582
59,11992.254003416747
60,12133.923009969294
61,12284.133990760893
62,11968.982988037169
63,12255.974026629701
64,12612.046004505828
65,12332.966987742111
66,12323.44500022009
67,12179.7310130205
68,11982.469004578888
69,11745.772993890569
70,11864.706000778824
71,11762.984009692445
72,11711.036000633612
73,11867.588997120038
74,11785.557988332585
75,11889.788991538808
76,11698.499001795426
77,24581.940000643954
78,13019.299018196762
79,11881.90799439326
80,11778.061016229913
81,12953.099998412654
82,13565.206987550482
83,12807.140999939293
84,13610.92401202768
85,12140.530976466835
86,20468.21199473925
87,13751.835009315982
88,13366.976985707879
89,11866.023996844888
90,12013.161001959816
91,11942.654993617907
92,11760.121997212991
93,12260.565999895334
94,14020.931004779413
95,12052.352976752445
96,12001.75000121817
97,11903.412989340723
98,11686.740996083245
99,13317.164004547521
100,11837.412981549278
101,12088.885006960481
102,11780.78301018104
103,11714.65401421301
104,12352.429999737069
105,12026.651995256543
106,11858.299985760823
107,12742.444989271462
108,12233.004003064707
109,12280.480994377285
110,12825.638987123966
111,12068.926997017115
112,12963.410001248121
113,12354.834005236626
114,11934.780981391668
115,11860.541009809822
116,11838.171980343759
117,12760.526005877182
118,12238.161987625062
119,11877.142009325325
120,11873.395997099578
121,11910.725006600842
122,11721.05097793974
123,11715.850996552035
124,11633.246002020314
125,11833.29802006483
126,12063.889007549733
127,11859.547987114638
128,11681.463016429916
129,11815.777979791164
130,11787.958006607369
131,11615.99502665922
132,11619.685974437743
133,11794.27100578323
134,11708.033998729661
135,11804.698006017134
136,11904.930986929685
137,11834.022006951272
138,11795.047990744933
139,11839.957005577162
140,11796.812003012747
141,11714.067019056529
142,11759.043991332874
143,12331.031990470365
144,11769.826989620924
145,11870.868998812512
146,11805.346002802253
147,12066.0999964457
148,11806.348979007453
149,11969.433020567521
150,12257.67598953098
151,12230.364984134212
152,12494.786002207547
153,11579.257989069447
154,11827.609996544197
155,11903.328006155789
156,11673.261993564665
157,11722.57200232707
158,11691.691004671156
159,11616.01798958145
160,13108.757004374638
161,11979.322007391602
162,12139.429018134251
163,12089.429015759379
164,11801.802000263706
165,13002.207997487858
166,11868.803994730115
167,11867.919005453587
168,12113.817007048056
169,12351.726996712387
170,11818.388011306524
171,11720.833979779854
172,11850.373004563153
173,11909.227992873639
174,11744.732008082792
175,12135.35197894089
176,12367.291987175122
177,14207.241008989513
178,12196.602008771151
179,12797.011993825436
180,12495.277973357588
181,11981.080984696746
182,11980.709008639678
183,11908.468004548922
184,11681.17401539348
185,12821.08700252138
186,11730.302998330444
187,12137.698999140412
188,12046.388001181185
189,12770.102999638766
190,11878.17400204949
191,12389.24398785457
192,11845.295986859128
193,11958.429007790983
194,11784.080998040736
195,11681.349016726017
196,11745.906987925991
197,11840.232007671148
198,11869.962007040158
199,11965.295008849353
200,23846.11198795028
201,12731.311988318339
202,11925.203987630084
203,13236.591999884695
204,11816.54998799786
205,11956.828995607793
206,11721.686023520306
207,12014.122010441497
208,12002.70900153555
209,11810.80800597556
210,11623.273981967941
211,12267.319019883871
212,12568.39299458079
213,12128.767993999645
214,11774.793005315587
215,11832.978983875364
216,11732.002982171252
217,12276.145978830755
218,11915.884999325499
219,11728.222016245127
220,11709.032987710088
221,11839.831015095115
222,13323.352002771571
223,12113.359989598393
224,11896.342999534681
225,11894.79001914151
226,11742.470000172034
227,11709.168989909813
228,11719.449976226315
229,11957.30100153014
230,12208.974017994478
231,11923.924001166597
232,12824.817007640377
233,12380.186992231756
234,13275.214994791895
235,12110.734009183943
236,11874.571006046608
237,12109.16502168402
238,11750.795994885266
239,11691.50898931548
240,11666.403006529436
241,11776.673985878006
242,12180.561985587701
243,11685.331992339343
244,11819.717998150736
245,11653.969995677471
246,11708.825011737645
247,11712.6340046525
248,11786.797986133024
249,11808.798997662961
250,12100.087013095617
251,11855.85799976252
252,11648.419982520863
253,12344.873015535995
254,11844.610999105498
255,11755.081010051072
256,11830.669973278418
257,11856.421013362706
258,12055.853992933407
259,14191.374008078128
260,12379.293009871617
261,12204.385013319552
262,12049.036013195291
263,11798.966996138915
264,12000.594986602664
265,11786.52499220334
266,11738.441011402756
267,11638.716998277232
268,11714.50800029561
269,11779.375985497609
270,12043.94199885428
271,12021.983013255522
272,11841.65000449866
273,12134.19801206328
274,12043.861002894118
275,11933.529982343316
276,11928.238003747538
277,11799.673025961965
278,11716.453009285033
279,11576.894001336768
280,11711.541999829933
281,11700.007016770542
282,11660.362011753023
283,12329.182005487382
284,11972.293024882674
285,11799.839994637296
286,11700.917995767668
287,11754.58001671359
288,11832.599004264921
289,12001.971976133063
290,11817.632999736816
291,11944.778001634404
292,11754.577979445457
293,11953.148990869522
294,11709.33898538351
295,11655.933019937947
296,11884.177976753563
297,11971.19100834243
298,11695.041990606114
299,11875.949014211074
300,11985.888006165624
301,11684.271012200043
302,11629.19300259091
303,11732.30100539513
304,11803.15698729828
305,11935.808986891061
306,11878.751014592126
307,11877.428012667224
308,12416.47801361978
309,12100.289983209223
310,11810.79397792928
311,12411.763018462807
312,11864.311003591865
313,12091.879005311057
314,12026.03301499039
315,11862.419982207939
316,11886.448977747932
317,12165.077001554891
318,11873.935000039637
319,11746.477015549317
320,11984.643992036581
321,12110.743002267554
322,11762.656999053434
323,11751.162994187325
324,11670.790001517162
325,22295.624017715454
326,12359.360989648849
327,12132.076983107254
328,12092.701013898477
329,11764.803988626227
330,11724.870011676103
331,11807.561997557059
332,11774.020007578656
333,12093.072989955544
334,11856.11801338382
335,11730.822006938979
336,11825.637018773705
337,12345.787981757894
338,11840.800987556577
339,11818.44001985155
340,11715.963017195463
341,13739.58500334993
342,12900.37200669758
343,11993.499007076025
344,11807.567003415897
345,11937.575007323176
346,11869.09299576655
347,11768.939992180094
348,11800.845008110628
349,11760.177003452554
350,11646.397993899882
351,11972.080013947561
352,11603.421997278929
353,11895.758012542501
354,11823.212989838794
355,11664.626013953239
356,12130.617978982627
357,12093.072000425309
358,12572.837003972381
359,12763.072008965537
360,12346.481991698965
