,Time
0,79574.69701068476
1,33912.343002157286
2,25276.52299613692
3,18532.145011704415
4,21956.156007945538
5,15611.15199001506
6,41621.984011726454
7,20934.51700056903
8,16478.414996527135
9,14917.585998773575
10,17912.971990881488
11,15354.96098222211
12,15511.971985688433
13,15656.456002034247
14,14744.39600133337
15,15609.64499367401
16,14980.556996306404
17,15484.329022001475
18,14859.03700813651
19,15301.336999982595
20,14993.602002505213
21,14993.775985203683
22,17883.123975479975
23,16156.079014763236
24,44265.3679929208
25,24648.14600534737
26,16654.49098800309
27,15422.37401008606
28,30594.48898420669
29,17597.667989321053
30,15204.901981633157
31,15496.278007049114
32,14843.273005681112
33,14814.210997428745
34,18747.505004284903
35,15376.159979496151
36,12371.389981126413
37,11823.144013760611
38,11848.102003568783
39,11935.44000852853
40,12741.722981445491
41,12350.025994237512
42,12337.80398615636
43,11805.748974438757
44,11712.775012711063
45,12035.926018143073
46,11652.17300876975
47,13681.348995305598
48,14762.247010366991
49,12061.067012837157
50,12818.182993214577
51,11967.672995524481
52,11752.357997465879
53,11756.69499207288
54,11667.338985716924
55,11818.973027402535
56,14780.809986405075
57,13350.61900317669
58,16537.892021005973
59,18762.491003144532
60,12977.560982108116
61,12366.246985038742
62,12514.556001406163
63,12050.093995640054
64,12651.290016947314
65,12402.408989146352
66,11746.619013138115
67,11900.592013262212
68,12057.792977429926
69,11989.81999186799
70,11584.129009861499
71,11638.232972472906
72,11720.615002559498
73,11660.07001302205
74,12104.13800436072
75,12128.57398786582
76,11482.847010483965
77,11616.073024924845
78,11781.778011936694
79,11522.260989295319
80,11636.530980467796
81,11888.830980751663
82,12333.0159985926
83,11614.77598361671
84,11595.322983339429
85,11632.146022748202
86,11547.741974936798
87,43210.38001216948
88,12061.257992172614
89,11772.358004236594
90,12230.598978931084
91,11555.334000149742
92,11537.068989127874
93,11476.909974589944
94,11466.7359739542
95,12186.281994218007
96,12172.471004305407
97,12020.611990010366
98,11702.416988555342
99,12706.567998975515
100,11907.076986972243
101,11971.013998845592
102,11721.488001057878
103,11849.995993543416
104,12008.518999209628
105,12014.279986033216
106,42834.730993490666
107,20017.089002067223
108,23634.47198877111
109,12757.94001412578
110,12288.115976843983
111,12790.674983989447
112,13725.295983022079
113,12182.599020889029
114,12721.220002276823
115,14739.798003574833
116,13128.905993653461
117,12657.960993237793
118,12077.52397749573
119,11742.711998522282
120,11691.99199648574
121,11824.279994470999
122,11997.800000244752
123,12207.323015900329
124,11971.541011007503
125,12154.693977208808
126,12637.44500465691
127,17873.33100219257
128,25984.62998867035
129,27490.64500676468
130,33041.38101520948
131,23434.08000888303
132,13567.482004873455
133,12441.908998880535
134,12711.47100487724
135,12444.6639965754
136,12129.002017900348
137,13489.912002114579
138,12733.286013826728
139,12571.981991641223
140,11663.301003864035
141,11666.576989227906
142,11935.6119830627
143,12204.800004838035
144,11840.216000564396
145,12064.101989381015
146,12366.817012662068
147,12103.814980946481
148,11582.793988054618
149,18118.06598561816
150,23469.88400677219
151,28098.638984374702
152,25534.66198151
153,14730.20200501196
154,13347.346015507355
155,13113.079010508955
156,12127.374997362494
157,11806.251015514135
158,12416.662997566164
159,16078.787011792883
160,14364.195987582207
161,14378.0040089041
162,14025.131007656455
163,14005.40498434566
164,12533.797998912632
165,11798.449006164446
166,11602.250015130267
167,11587.72100461647
168,24078.427988570184
169,25785.8699769713
170,14963.62400939688
171,25729.813001817092
172,14548.562990967184
173,14019.774011103436
174,13130.959996487945
175,13037.886004894972
176,12542.784010292962
177,12773.294001817703
178,12433.955009328201
179,12157.7910031192
180,12045.45600921847
181,11940.37200184539
182,12354.25699269399
183,11880.97000704147
184,12302.863004151732
185,11658.035014988855
186,12328.706012340263
187,11952.702014241368
188,17888.939997646958
189,180559.6729973331
190,14218.180993339047
191,11905.06701823324
192,11775.56099719368
193,12648.793985135853
194,13068.193016806617
195,12485.445011407137
196,12618.170992936939
197,12164.796004071832
198,18569.08100307919
199,13687.071012100205
200,11743.856011889875
201,12053.784012096003
202,12717.656005406752
