,Time
0,43292.73200710304
1,19051.59797752276
2,16393.173980759457
3,12341.380992438644
4,13871.346018277109
5,18167.542992159724
6,15539.554005954415
7,15860.68098549731
8,13514.990016119555
9,12882.740993518382
10,12007.968995021656
11,12744.328996632248
12,12893.915991298854
13,11961.059994064271
14,11730.344995157793
15,11956.172005739063
16,11637.413001153618
17,12537.339993286878
18,11787.488998379558
19,11698.608985170722
20,12074.269994627684
21,11726.61897726357
22,11639.964999631047
23,11598.74300356023
24,11672.600026940927
25,11953.856999753043
26,11630.836001131684
27,11687.031015753746
28,11608.06801635772
29,12212.544999783859
30,12487.264000810683
31,12284.408992854878
32,11848.244990687817
33,11836.941004730761
34,12200.197001220658
35,11670.392006635666
36,12002.720002783462
37,11692.614993080497
38,12720.119004370645
39,11819.353007012978
40,11636.993003776297
41,11786.8359957356
42,11714.435007888824
43,12168.468994786963
44,11867.892986629158
45,11634.32199973613
46,11541.7439956218
47,11460.406007245183
48,11673.664004774764
49,12146.945024142042
50,11738.888017134741
51,11600.10599414818
52,11492.097022710368
53,11634.584021521732
54,11687.182995956391
55,11863.827996421605
56,12343.0680250749
57,12062.490975949913
58,11883.124010637403
59,12007.582990918308
60,11912.63398504816
61,11894.756025867537
62,12020.135996863246
63,11756.844993215054
64,11715.344007825479
65,11978.49801974371
66,11852.355004521087
67,11921.67098633945
68,11764.144990593195
69,11979.479982983321
70,11648.079002043232
71,13782.508001895621
72,12492.476002080366
73,12032.40899485536
74,11959.374998696148
75,11674.437002511695
76,12073.696998413652
77,11753.234022762626
78,12773.429014487192
79,12866.937991930172
80,23732.70899988711
81,12259.670009370893
82,13875.66898483783
83,20109.610981307924
84,13361.722987610847
85,11971.57398564741
86,12027.251010295004
87,11986.849014647305
88,12231.822998728603
89,12426.90600338392
90,11711.820989148691
91,11751.86998443678
92,11796.665989095345
93,11694.71800676547
94,11859.93300168775
95,11794.072022894397
96,12463.188002584502
97,11858.678015414625
98,12685.485009569675
99,11928.421998163685
100,12439.601996447891
101,12083.091016393155
102,11759.1820016969
103,11823.041015304625
104,11722.839990397915
105,11716.003995388746
106,11710.777005646378
107,11626.763007370755
108,11714.571010088548
109,11869.26697846502
110,13595.470984000713
111,12383.19301046431
112,11886.346997926012
113,12051.110999891534
114,11912.802990991622
115,12204.118014778942
116,11841.883009765297
117,11970.541992923245
118,11792.753997724503
119,11673.62998239696
120,12177.87098721601
121,11834.856995847076
122,11937.168979784474
123,11876.136006321758
124,11815.360019681975
125,11938.269017264247
126,11947.633000090718
127,11981.863004621118
128,11633.487010840327
129,11558.660014998168
